tweet_id,timestamp,source,text,name,dog_phase,jpg_url,img_num,favorite_count,retweet_count,rating_ratio,predicted_breed
667443425659232256,2015-11-19 20:44:47,http://twitter.com/download/iphone,Exotic dog here. Long neck. Weird paws. Obsessed with bread. Waddles. Flies sometimes (wow!). Very happy dog. 6/10 https://t.co/rqO4I3nf2N,,,https://pbs.twimg.com/media/CUM8QZwW4AAVsBl.jpg,1,745,541,0.6,
667453023279554560,2015-11-19 21:22:56,http://twitter.com,Meet Cupcake. I would do unspeakable things for Cupcake. 11/10 https://t.co/6uLCWR9Efa,Cupcake,,https://pbs.twimg.com/media/CUNE_OSUwAAdHhX.jpg,1,297,84,1.1,labrador_retriever
667455448082227200,2015-11-19 21:32:34,http://twitter.com,This is Reese and Twips. Reese protects Twips. Both think they're too good for seat belts. Simply reckless. 7/10s https://t.co/uLzRi1drVK,Reese,,https://pbs.twimg.com/media/CUNHMXTU8AAS3HH.jpg,1,181,56,0.7,tibetan_terrier
667470559035432960,2015-11-19 22:32:36,http://twitter.com,This is a northern Wahoo named Kohl. He runs this town. Chases tumbleweeds. Draws gun wicked fast. 11/10 legendary https://t.co/J4vn2rOYFk,,,https://pbs.twimg.com/media/CUNU78YWEAECmpB.jpg,1,243,90,1.1,toy_poodle
667491009379606528,2015-11-19 23:53:52,http://twitter.com,Two dogs in this one. Both are rare Jujitsu Pythagoreans. One slightly whiter than other. Long legs. 7/10 and 8/10 https://t.co/ITxxcc4v9y,,,https://pbs.twimg.com/media/CUNniSlUYAEj1Jl.jpg,1,500,211,0.7,borzoi
667495797102141441,2015-11-20 00:12:54,http://twitter.com,This is Philippe from Soviet Russia. Commanding leader. Misplaced other boot. Hung flag himself. 9/10 charismatic af https://t.co/5NhPV8E45i,Philippe,,https://pbs.twimg.com/media/CUNr4-7UwAAg2lq.jpg,1,496,248,0.9,chihuahua
667502640335572993,2015-11-20 00:40:05,http://twitter.com,Say hello to Hall and Oates. Oates is winking and Hall is contemplating the artistic entropy of the universe. 11/10s https://t.co/n5Wtb5Hvsl,Hall,,https://pbs.twimg.com/media/CUNyHTMUYAAQVch.jpg,1,514,211,1.1,labrador_retriever
667509364010450944,2015-11-20 01:06:48,http://twitter.com,This a Norwegian Pewterschmidt named Tickles. Ears for days. 12/10 I care deeply for Tickles https://t.co/0aDF62KVP7,,,https://pbs.twimg.com/media/CUN4Or5UAAAa5K4.jpg,1,6454,2005,1.2,beagle
667517642048163840,2015-11-20 01:39:42,http://twitter.com,This is Dook &amp; Milo. Dook is struggling to find who he really is and Milo is terrified of what that might be. 8/10s https://t.co/fh5KflzBR0,Dook,,https://pbs.twimg.com/media/CUN_wiBUkAAakT0.jpg,1,349,181,0.8,italian_greyhound
667524857454854144,2015-11-20 02:08:22,http://twitter.com,Another topnotch dog. His name is Big Jumpy Rat. Massive ass feet. Superior tail. Jumps high af. 12/10 great pup https://t.co/seESNzgsdm,,,https://pbs.twimg.com/media/CUOGUfJW4AA_eni.jpg,1,1613,1054,1.2,chesapeake_bay_retriever
667530908589760512,2015-11-20 02:32:25,http://twitter.com,"Meet Naphaniel. He doesn't necessarily enjoy his day job, but he's damn good at it. 10/10 https://t.co/xoRWyQTcmy",Naphaniel,,https://pbs.twimg.com/media/CUOL0uGUkAAx7yh.jpg,1,444,224,1.0,golden_retriever
667534815156183040,2015-11-20 02:47:56,http://twitter.com,"This is Frank (pronounced ""Fronq""). Too many boxing gloves, not enough passion. Frank is a lover not a fighter. 8/10 https://t.co/CpPxD28IpV",Frank,,https://pbs.twimg.com/media/CUOPYI5UcAAj_nO.jpg,1,781,494,0.8,pembroke
667538891197542400,2015-11-20 03:04:08,http://twitter.com,"This is a southwest Coriander named Klint. Hat looks expensive. Still on house arrest :(
9/10 https://t.co/IQTOMqDUIe",,,https://pbs.twimg.com/media/CUOTFZOW4AABsfW.jpg,1,195,61,0.9,yorkshire_terrier
667544320556335104,2015-11-20 03:25:43,http://twitter.com,"This is Kial. Kial is either wearing a cape, which would be rad, or flashing us, which would be rude. 10/10 or 4/10 https://t.co/8zcwIoiuqR",Kial,,https://pbs.twimg.com/media/CUOYBbbWIAAXQGU.jpg,1,817,493,1.0,pomeranian
667437278097252352,2015-11-19 20:20:22,http://twitter.com/download/iphone,Never seen this breed before. Very pointy pup. Hurts when you cuddle. Still cute tho. 10/10 https://t.co/97HuBrVuOx,,,https://pbs.twimg.com/media/CUM2qWaWoAUZ06L.jpg,1,428,223,1.0,
667546741521195010,2015-11-20 03:35:20,http://twitter.com,Here is George. George took a selfie of his new man bun and that is downright epic. (Also looks like Rand Paul) 9/10 https://t.co/afRtVsoIIb,George,,https://pbs.twimg.com/media/CUOaOWXWcAA0_Jy.jpg,1,324,115,0.9,toy_poodle
667724302356258817,2015-11-20 15:20:54,http://twitter.com,What a dog to start the day with. Very calm. Likes to chill by pond. Corkscrews sticking out of head. Obedient. 7/10 https://t.co/0nIxPTDWAZ,,,https://pbs.twimg.com/media/CUQ7tv3W4AA3KlI.jpg,1,458,302,0.7,
667728196545200128,2015-11-20 15:36:22,http://twitter.com,Meet Olive. He comes to spot by tree to reminisce of simpler times and truly admire his place in the universe. 11/10 https://t.co/LwrCwlWwPB,Olive,,https://pbs.twimg.com/media/CUQ_QahUAAAVQjn.jpg,1,363,143,1.1,kuvasz
667766675769573376,2015-11-20 18:09:16,http://twitter.com,This is Calvin. He is a Luxembourgian Mayo. Having issues with truck. Has it under control tho. 9/10 responsible af https://t.co/3Bbba7y8Xe,Calvin,,https://pbs.twimg.com/media/CURiQMnUAAAPT2M.jpg,1,420,204,0.9,
667773195014021121,2015-11-20 18:35:10,http://twitter.com,This is a rare Hungarian Pinot named Jessiga. She is either mid-stroke or got stuck in the washing machine. 8/10 https://t.co/ZU0i0KJyqD,,,https://pbs.twimg.com/media/CURoLrOVEAAaWdR.jpg,1,223,52,0.8,west_highland_white_terrier
667782464991965184,2015-11-20 19:12:01,http://twitter.com/download/iphone,Super rare dog. Endangered (?). Thinks it's funny. Mocks everything I say. Colorful af. Has wings (dope). 9/10 https://t.co/BY8nQAMz0x,,,https://pbs.twimg.com/media/CURwm3cUkAARcO6.jpg,1,395,232,0.9,
667793409583771648,2015-11-20 19:55:30,http://twitter.com/download/iphone,Dogs only please. Small cows and other non canines will not be tolerated. Sick tattoos tho 8/10 https://t.co/s1z7mX4c9O,,,https://pbs.twimg.com/media/CUR6jqVWsAEgGot.jpg,1,671,311,0.8,dalmatian
667801013445750784,2015-11-20 20:25:43,http://twitter.com/download/iphone,OMIGOD 12/10 https://t.co/SVMF4Frf1w,,,https://pbs.twimg.com/media/CUSBemVUEAAn-6V.jpg,1,314,92,1.2,flat-coated_retriever
667806454573760512,2015-11-20 20:47:20,http://twitter.com/download/iphone,This is Filup. He is overcome with joy after finally meeting his father. 10/10 https://t.co/TBmDJXJB75,Filup,,https://pbs.twimg.com/media/CUSGbXeVAAAgztZ.jpg,1,1008,461,1.0,chihuahua
667832474953625600,2015-11-20 22:30:44,http://twitter.com/download/iphone,"THE EYES 12/10

I'm sorry. These are supposed to be funny but your dogs are too adorable https://t.co/z1xPTgVLc7",,,https://pbs.twimg.com/media/CUSeGFNW4AAyyHC.jpg,1,284,59,1.2,miniature_pinscher
667861340749471744,2015-11-21 00:25:26,http://twitter.com/download/iphone,This is a Shotokon Macadamia mix named Cheryl. Sophisticated af. Looks like a disappointed librarian. Shh (lol) 9/10 https://t.co/J4GnJ5Swba,,,https://pbs.twimg.com/media/CUS4WJ-UsAEJj10.jpg,1,231,74,0.9,malamute
667866724293877760,2015-11-21 00:46:50,http://twitter.com/download/iphone,This is Shaggy. He knows exactly how to solve the puzzle but can't talk. All he wants to do is help. 10/10 great guy https://t.co/SBmWbfAg6X,Shaggy,,https://pbs.twimg.com/media/CUS9PlUWwAANeAD.jpg,1,2881,976,1.0,
667873844930215936,2015-11-21 01:15:07,http://twitter.com/download/iphone,Neat dog. Lots of spikes. Always in push-up position. Laid a shit ton of eggs earlier. Super stellar pup. 10/10 https://t.co/ODqrL3zXYE,,,https://pbs.twimg.com/media/CUTDtyGXIAARxus.jpg,1,596,383,1.0,
667878741721415682,2015-11-21 01:34:35,http://twitter.com/download/iphone,This is Tedrick. He lives on the edge. Needs someone to hit the gas tho. Other than that he's a baller. 10&amp;2/10 https://t.co/LvP1TTYSCN,Tedrick,,https://pbs.twimg.com/media/CUTILFiWcAE8Rle.jpg,1,375,111,1.0,miniature_pinscher
667885044254572545,2015-11-21 01:59:37,http://twitter.com/download/iphone,Meet Stu. Stu has stacks on stacks and an eye made of pure gold. 10/10 pay for my tuition pls https://t.co/7rkYZQdKEd,Stu,,https://pbs.twimg.com/media/CUTN5V4XAAAIa4R.jpg,1,780,446,1.0,
667549055577362432,2015-11-20 03:44:31,http://twitter.com,Never seen dog like this. Breathes heavy. Tilts head in a pattern. No bark. Shitty at fetch. Not even cordless. 1/10 https://t.co/i9iSGNn3fx,,,https://pbs.twimg.com/media/CUOcVCwWsAERUKY.jpg,1,5489,2116,0.1,
667886921285246976,2015-11-21 02:07:05,http://twitter.com/download/iphone,This is Erik. He's fucken massive. But also kind. Let's people hug him for free. Looks soft. 11/10 I would hug Erik https://t.co/MT7Q4aDQS1,Erik,,https://pbs.twimg.com/media/CUTPnPCW4AI7R0y.jpg,1,1780,1011,1.1,pomeranian
667435689202614272,2015-11-19 20:14:03,http://twitter.com/download/iphone,Ermergerd 12/10 https://t.co/PQni2sjPsm,,,https://pbs.twimg.com/media/CUM1OHCW4AEgGSi.jpg,1,293,79,1.2,rottweiler
